sentimen,tweet,tweet_clean
positif,Perubahan segalanya...yg paling utama keadilan sosial bagi seluruh Rakyat indonesia..khususnya HARGA SEMBAKO murah ..,ubah paling utama adil sosial rakyat indonesia harga sembako murah
positif,Yusuf Mansur menilai Ma'ruf Amin sebagai sosok yang ideal untuk mendampingi Jokowi maju dalam pemilihan presiden (pilpres) 2019. Pasangan ini diharapkan nantinya mampu mendongkrak ekonomi syariah.   #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih,yusuf mansur nilai ma ruf amin sosok ideal damping jokowi maju pilih presiden pilpres pasang harap dongkrak ekonomi syariah #pilihorangbaik #pilihjelasislamnya #pilihbajuputih
negatif,"Gw bertanding apa sampe kalah?  Gubernur Indonesia Anies B? Wina ini jauh melompat, pakar ekonomi/kelola keuangan tp harga pada naik, ekonomi masy tak meningkat. Trus ajakannya cuma bisa suruh ikat pinggang yg kencang dan sabar.  Sorry yg terbiasa di jalan tak kenal sensi.",gw tanding sampe kalah gubernur indonesia anies b wina lompat pakar ekonomi kelola uang harga ekonomi masy tak tingkat trus aja suruh ikat pinggang kencang sabar sorry biasa jalan tak kenal sensi
positif,"Pernyataan penutup yg gemilang... Cukup satu kartu,  tidak akan mengambil gaji,  dan 13 kali ke TPS (Tusuk Prabowo Sandi).. Ditambah lg Pak Prabowo yg mengatakan dana desa adlh atas inisiatif beliau saat menjabat sebgai ketua HKTI tanpa perlu dipolitisasi..",nyata tutup gemilang kartu tidak ambil gaji kali tps tusuk prabowo sandi tambah lg prabowo dana desa adlh inisiatif beliau jabat sebgai ketua hkti tanpa politisasi
negatif,Sah gundulmu itu jokowi dalam rangka memperkuat hubungan ekonomi dengan arab. Kalo ada kecurangan ya lapor dong ke bawaslu. Anggota bawaslu dipilih dan di seleksi di dpr yang di dpr sendiri terdiri dari berbagai partai termasuk partai pengusung oposisi.,sah gundul jokowi rangka kuat hubung ekonomi arab kalo curang ya lapor bawaslu anggota bawaslu pilih seleksi dpr dpr partai partai usung oposisi
netral,"@jokowi @mohmahfudmd @SBYudhoyono @setkabgoid  Salam kebangsaan NKRI DAN PANCASILA HARGA MATI UTK Sabang sampai Maroke, saya bukan org politik tetapi penonton politik,pendapat sya demokrasi pilih presiden lÃ ngsung oleh rakyat sangat tepat,tetapi dari sis",@jokowi @mohmahfudmd @sbyudhoyono @setkabgoid salam bangsa nkri pancasila harga mati sabang maroke bukan org politik tonton politik dapat sya demokrasi pilih presiden l ngsung rakyat sangat sis
positif,Mau harga harga murah pilih prabowo sandi mau hrga listrik murah pilih prabowo sandi mau lowongan kerja pilih prabowo sandi mau hentikan impor saat panen pilih prabowo sandi pokonya @prabowo @sandiuno  yesss yessss,harga harga murah pilih prabowo sandi hrga listrik murah pilih prabowo sandi lowong kerja pilih prabowo sandi henti impor panen pilih prabowo sandi poko @prabowo @sandiuno yesss yesss
positif,Liat video ini netes juga air mata. Kita doakan semoga @prabowo @sandiuno MENANG agar nasib ekonomi para ojol bisa lebih baik lagi aaminnnn ðŸ™,liat video netes air mata doa moga @prabowo @sandiuno menang nasib ekonomi ojol lebih aaminnn
negatif,"Digital"" itu penting, tp swasembada pangan, harga pangan murah itu jauh lebih dibutuhkan masyarakat.  Dasar gak tau prioritas. Kayak gtu minta 2 periode.",digital swasembada pangan harga pangan murah lebih butuh masyarakat dasar nggak tau prioritas kayak gtu periode
netral,"Yah ngapain juga digaji, Kan udahhh kayaaa raya congggg ðŸ¤£ðŸ¤£ðŸ¤£  ,paling ngambil dikit aja, gakpapa katanya kalo cuma dikit. Hehe. Salam Dua Jari. Prabowo Sandi  https://twitter.com/detikcom/status/1117096753759686657Â â€¦",yah ngapain gaji udahhh kayaaa raya conggg paling ngambil dikit gakpapa kalo dikit hehe salam jari prabowo sandi
negatif,"Muslim kaffahnya, termasuk gaji karyawannya gak dibayar jg itu to, ngemplang pajak PANAMA papers jgn lupa, Indonesia bubar maju jalanðŸ¤£ðŸ¤£ðŸ¤£ Jd ingat lucinta Luna, suka batangan.. yg homo siapa, ingaaaatðŸ¤£ðŸ¤£ðŸ¤£",muslim kaffahnya gaji karyawannya nggak bayar to ngemplang pajak panama papers jgn lupa indonesia bubar maju jalan jd lucinta luna suka batang homo ingaaat
negatif,"kedaulatan negara ditentukan oleh kedaulatan ekonomi dan kesejahteraan. Kita tak berdaulat secara ekonomi,  karena salah kelola di rezim orba.  JOKOWI lagi membenahi dari dasar PONDASI EKONOMI.   Analisanya kok begini?",daulat negara tentu daulat ekonomi sejahtera tak daulat ekonomi salah kelola rezim orba jokowi benah dasar pondasi ekonomi analisanya
netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan pak @jokowi -JK, sangat jauh meningkat.   https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",#pilihorangbaik #pilihjelasislamnya #pilihbajuputih capai hasil capai tumbuh ekonomi era perintah @jokowi jk sangat tingkat
netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat. Coblos 01 JUARA   https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",#pilihorangbaik #pilihjelasislamnya #pilihbajuputih capai hasil capai tumbuh ekonomi era perintah @jokowi jk sangat tingkat coblos juara
negatif,"Iya isi dompet gue kaya ekonomi Indonesia, kalo kata Pak @prabowo salah jalan.  Makanya sekarang dompet udah gue pasangin kompas. Belum pake gps, masih ngumpulin modalnya dulu.",iya isi dompet gue kaya ekonomi indonesia kalo @prabowo salah jalan dompet udah gue pasangin kompas belum pake gps ngumpulin modal
positif,Pak Prabowo concern  benahi tata kelola negara..  pertahanan negara  hingga harga diri bangsa  di mata dunia  Bang Sandi fokus  garap kekuatan ekonomi sinergikan pemerintah dan  power rakyatnya  para ulama 212 fokus garap  iman dan akidah juga akhlaq umat  #Ruh212 #MCAHacktivis,prabowo concern benah tata kelola negara tahan negara harga bangsa mata dunia bang sandi fokus garap kuat ekonomi sinergi perintah power rakyat ulama fokus garap iman akidah akhlaq umat #ruh212 #mcahacktivis
negatif,Pemahaman tata negara. Pemahaman akan peraturan. Pemahaman akan kebijakan ekonomi. Pemahaman kalau kursi mentri hrs diisi org2 yg kompeten (walau tidak tepat 100%..)  Ketimbang prabowo.. belum apa2 sudah bagi2 jatah kursi menteri untuk parpol2 pendukungnya.,paham tata negara paham atur paham bijak ekonomi paham kursi tri hrs isi org2 kompeten tidak ketimbang prabowo belum apa2 bagi2 jatah kursi menteri parpol2 dukung
negatif,"Yg diserang ekonomi makro woooyyy!!! Lu liat,pengangkut sembako,dulu belum ada tol,dia dijalan mikir jam!! Sekarang,tinggal bayar,waktu terganti. Gw pelakunya!!",serang ekonomi makro woooyyy lu liat angkut sembako belum tol jalan mikir jam tinggal bayar ganti gw laku
netral,"Gileee... Ratusan juta mata menonton menyaksikan sebuah pengakuan yg cukup berani dan jujur,  bhw kebijakan ekonomi itu bkn salah pak jokowi, tp slh orang satu koalosinya, makanya prabowo dan sandi berpelukan erat,, pertanda mrk tdk akan bersama lg utk bericara didpn umum.",gileee ratus juta mata tonton saksi aku berani jujur bhw bijak ekonomi bukan salah jokowi slh orang koalosinya prabowo sandi peluk erat tanda mrk tidak lg bericara didpn
negatif,Udah gagal minta 2 priode. Saat debat bukan fokus ekonomi malah bahas games mobile legend dll. GAK BERFAEDAH.  yai pun menanyakan harta kekayaan prabowo apa urusan dngan negara dan gak fokus soal kebangsaan.  HARUS LENGSER,udah gagal priode debat bukan fokus ekonomi bahas games mobile legend dll nggak faedah yai harta kaya prabowo urus dngan negara nggak fokus bangsa lengser
netral,"Gelar pertemuan bilateral, Presiden Jokowi dan Raja Salman sepakat ke depan, kerja sama ekonomi akan terus ditingkatkan terutama di bidang energi dan pariwisata.  pic.twitter.com/Ro2jLYPeeL",gelar temu bilateral presiden jokowi raja salman sepakat kerja ekonomi tingkat bidang energi pariwisata pic twitter com ro2jlypeel
negatif,"Semua sudah ada NJOP nya,jadi kalau ngeyel harga nya ditinggiin,ya itu salah yg minta lah!!!",njop ngeyel harga ditinggiin ya salah
negatif,Kan katanya pak sandi lulusan amerika ipk nya 4 katanya jd khatam banget makro dan mikro ini.. Tapi kok kalah sama sarjana kehutanan.. Apakah p jokowi jurusan ekonomi kehutanan?,sandi lulus amerika ipk jd khatam banget makro mikro kalah sarjana hutan p jokowi jurus ekonomi hutan
netral,"Pak Prabowo ternyata memiliki jiwa sportif, bhw Kesalahan Kebijakan Ekonomi Indonesia terjadi puluhan tahun sblm Pak Jokowi berkuasa,cuma sayang Partai Koalisinya tdk suka bhk ada yg emosi dg kejujuran Pak Prabowo mengungkap fakta. Aneh...!",prabowo milik jiwa sportif bhw salah bijak ekonomi indonesia puluh sblm jokowi kuasa sayang partai koalisi tidak suka bhk emosi dg jujur prabowo ungkap fakta aneh
negatif,"Salah arahnya Pembangunan Ekonomi Indonesia saat ini juga tak terlepas dari andil #presiden sebelum #Jokowi. ""Saya tidak menyalahkan Bapak. Ini kesalahan besar, kesalahan besar presiden-presiden sebelum Bapak. Kita...  https://media0.giphy.com/media/1esS6V0Us2JQCLIH4t/giphy.gifÂ â€¦",salah arah bangun ekonomi indonesia tak lepas andil #presiden #jokowi tidak salah salah salah presiden presiden
negatif,"Lalu harga tiket pesawat kapan diturunkan pak?,saya sangat brharap besar dlm aspek ini,trlbh dngan mahal ny harga tiket pswt terbang yg amat tinggi/mahal tarif biaya expdisi antar kota pun ikut melonjak naik",harga tiket pesawat turun sangat brharap dlm aspek trlbh dngan mahal ny harga tiket pswt terbang amat mahal tarif biaya expdisi kota lonjak
negatif,"Paling parah malaysia mba, bayangkan 2jt org hrs beetumpu di 3 tps,  apakah kita sebagai warga negara tdk blh kritik dan tdk blh marah kl liat para pelaksana swperti itu,  sedangkan mereka di gaji olh uang negara.",paling parah malaysia mba bayang 2jt org hrs beetumpu tps warga negara tidak blh kritik tidak blh marah kl liat laksana swperti gaji olh uang negara
netral,"Ya drpd mikirin yg kyk gtu mending mikirin hal yg mendasar dulu dong,ekonomi dll,lha klo ketagihan game online bikin malas sgl nya,di suruh wirid ke masjid malah nongkrong di warnet,bergayalah sesuai isi kantong",ya drpd mikirin kyk gtu mending mikirin dasar ekonomi dll lha klo tagih game online bikin malas sgl suruh wirid masjid nongkrong warnet gaya sesuai isi kantong
negatif,"Kata die zaman jokowi ekonomi anjlok, tapi punya gadget sebanyak itu. Belum lagi bayar wifi. Terus dia bilang anjlok n serba mahal itu apa?",die zaman jokowi ekonomi anjlok gadget belum bayar wifi bilang anjlok n serba mahal
netral,"Janji Tak Ambil Gaji jika Terpilih, Prabowo-Sandi Ikuti Jejak Para Presiden Terkenal Ini #UASdifitnahKejiDanBrutal #BeraniPilih02 #TusukPrabowoSandi #HoaxJkwMenangTotalDebat  http://bit.ly/2v9QUqhÂ ",janji tak ambil gaji pilih prabowo sandi ikut jejak presiden kenal #uasdifitnahkejidanbrutal #beranipilih02 #tusukprabowosandi #hoaxjkwmenangtotaldebat
netral,Y memang lebih kecil. Tp pngetahuan tata kelola ekonomi negara jauh kelasnya,y lebih pngetahuan tata kelola ekonomi negara kelas
netral,prabowo sudah berbuat apa untuk rakyat kecil...?? sedang gaji karyawannya aja...belum dibayar sampai sekarang....heheheheee,prabowo buat rakyat gaji karyawannya belum bayar heheheheee
negatif,Akui kekurangan ya. Akui prabowo dulu kristen. Sekarang mualaf. Ibunya kristen. Hashim kristen. Gak bisa sholat. Wudhu gerakan salah. Gak bisa ngaji. Dipecat dari TNI. 1% dari elit bajingan.,aku kurang ya aku prabowo kristen mualaf ibu kristen hashim kristen nggak sholat wudhu gera salah nggak ngaji pecat tni elit bajing
netral,"Prabowo dan Sandi berniat ga ambil gaji kalo menjabat. Ini memang gayanya Donald Trump, dia memang gakmau digaji. Ya udah tajir mau gmn lagi",prabowo sandi niat nggak ambil gaji kalo jabat gaya donald trump gakmau gaji ya udah tajir gmn
netral,"Di bawah perintah pak @jokowi bangunkan SPBU pertama setelag 71 tahun di Kabupaten Puncak Jaya Papua dengan harga yang semula 50ribu/liter, menjadi 6500/liter. #PilihOrangBaik  http://beritahati.com/berita/38106/Warga-Puncak-Papua-Era-Jokowi-harga-BBM-di-Papua-sama-dengan-pulau-JawaÂ â€¦ #PilihJelasIslamnya #PilihBajuPutih",perintah @jokowi bangun spbu setelag kabupaten puncak jaya papua harga 50ribu liter liter #pilihorangbaik #pilihjelasislamnya #pilihbajuputih
netral,cc @erickthohir kekurangan danakah?  Atau tidak mau tau?  Atau apa? Plisss..Jangan dibiarkan pendukung Jokowi-Amin seolah tidak ada yang peduli. Hargai suara mereka.  https://twitter.com/B_54TR14_/status/1117466538414493696Â â€¦,cc @erickthohir kurang dana tidak tau plisss biar dukung jokowi amin tidak peduli harga suara
netral,"Om Prabs kalo mau membangkitkan ekonomi, lepas dari hutang dunia, lepas dari cengkraman elite global, kuncinya satu, jangan pakai uang kertas, balik pakai emas, dan perak sebagai alat tukar. Sudah itu saja. Resiko melawan dunia kita hadapi bersama sebagai satu bangsa.",om prabs kalo bangkit ekonomi lepas hutang dunia lepas cengkraman elite global kunci pakai uang kertas pakai emas perak alat tukar resiko lawan dunia hadap bangsa
negatif,Gaji karyawan yang terkatung-katung apa kabar?,gaji karyawan katung katung kabar
negatif,"jokowi merakyat dibilang pencitraan. jokowi baik dibilang akting. jokowi sholat dicela, prabowo gak bisa sholat ngaji dan wudhu salah2 kalian gak mau melek. dari sini ajesih udeh ketaker sih ye otak kalian tu seberapa.  astaga -.-",jokowi rakyat bilang citra jokowi bilang akting jokowi sholat cela prabowo nggak sholat ngaji wudhu salah2 nggak melek ajesih udeh ketaker sih ye otak tu astaga
netral,Presiden Jokowi dan Raja Salman akan Tingkatkan Kerja Sama Ekonomi  https://panrita.news/2019/04/15/presiden-jokowi-dan-raja-salman-akan-tingkatkan-kerjasama-ekonomi/Â â€¦,presiden jokowi raja salman tingkat kerja ekonomi
negatif,Sampah...  @KPU_ID yg Gajih km siapa?   @jokowi loe mau mnang dngn cara begini?   ðŸ˜“ðŸ˜“ðŸ˜“,sampah @kpu id gajih km @jokowi loe mnang dngn
negatif,"Saiki PNS podo turu, lemes... Soale kerjoe benerÂ² diawasi... Mangkane nangis dukung prabowo ben iso turu gaji gede... Fakkk pahlawan minta jasa  https://twitter.com/toha_demokrat/status/1000534469478989824Â â€¦",saiki pns podo turu lemes soale kerjoe bener awas mangkane nang dukung prabowo ben iso turu gaji gede fakkk pahlawan jasa
positif,Turut mengembangkan ekonomi syariah sesuai dengan yang diamanatkanÂ Ma'ruf Amin. Aliansi Kiai Kampung Madura (Akma) siap menangkan Jokowi. #PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih https://news.detik.com/berita/d-4390375/dapat-dukungan-kiai-madura-maruf-harap-elektabilitas-naik?_ga=2.165283322.474562531.1548204037-255565881.1548204037Â â€¦,kembang ekonomi syariah sesuai amanat ma ruf amin aliansi kiai kampung madura akma menang jokowi #pilihorangbaik #pilihjelasislamnya #pilihbajuputih
netral,"Lha itu artinya ekonomi anda baik"" saja ,,malah bisa pakai 12kg",lha ekonomi pakai 12kg
negatif,"Rakyat ingin pekerjaan, pekerjanya diimpor dari China. Rakyat panen padi, berasnya impor. Rakyat ingin sembako murah, suruh tanam sendiri. Petani karet minta kenaikan harga, suruh tanam jengkol...  Jokowi mmg tau kemauan rakyat...   Ya Rabb, semoga otakku masih sehat.",rakyat kerja kerja impor china rakyat panen padi beras impor rakyat sembako murah suruh tanam tani karet naik harga suruh tanam jengkol jokowi mmg tau mau rakyat ya rabb moga otak sehat
netral,Janji Tak Ambil Gaji Prabowo-Sandi Persis Donald Trump  https://cnnindonesia.com/ekonomi/20190413232329-532-386131/janji-tak-ambil-gaji-prabowo-sandi-persis-donald-trump?utm_source=facebook&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmedÂ â€¦,janji tak ambil gaji prabowo sandi persis donald trump
positif,"Di kepemimpinan Presiden Jokowi, Indonesia maju saat perekonomian dunia tidak menentu.",pimpin presiden jokowi indonesia maju ekonomi dunia tidak tentu
netral,berita itu  http://betul.tpÂ  berita lama. didesaku ada beberapa pemilik sawah yg ngga cocok harga. sawah2 itupun jg dilewatin bangun jlnnya. termsk sawah kakakku. stlh ada titik temu ya disambung jln tolnya. sdhlah. demi Allah aku bicara jujur.ngga ada hubnya dng capres.,berita berita desa milik sawah nggak cocok harga sawah2 itu dilewatin bangun jlnnya termsk sawah kakak stlh titik temu ya sambung jln tol sdhlah allah bicara jujur nggak hubnya dng capres
netral,"Maaf mas saya gk pake yg subsidi,saya pake yg12kgðŸ˜‚soal harga udah tertera di nomor reg.nya dan wajib di tempel kan di dinding toko biar masyarakat tau,mangkanya saya tanya ke abg saya knp harganya brubah,katanya di ubah pk jokowi,subsidinya di alihkan",maaf mas nggak pake subsidi pake yg12kg harga udah tera nomor reg wajib tempel dinding toko biar masyarakat tau mangkanya abg knp harga brubah ubah pk jokowi subsidi alih
netral,"Video dengan sudut pandang berbeda, mau @jokowi atau @prabowo sama saja.   https://youtu.be/qlB7vg4I-ToÂ   Video yg membahas secara real masalah energi, sosial, lingkungan, ekonomi, politik, dan budaya dari batubara.",video sudut pandang beda @jokowi @prabowo video bahas real energi sosial lingkung ekonomi politik budaya batubara
negatif,"Aduh bego nya kampret yankayak gini, presidem sebelum Jokowi ya termasuk SBY, aduh kampret otak nya maundi reparasi tetep goublok..ðŸ¤£ðŸ¤£ðŸ¤£..BBM itu sekarang ngikutin harga pasar jd kalo naek ya naek kalo turun ya turun, BBM subsidi nga naek, kampret ilmu cetek aja belagu..ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£",aduh bego kampret yankayak gin presidem jokowi ya sby aduh kampret otak maundi reparasi tetep goublok bbm ngikutin harga pasar jd kalo naek ya naek kalo turun ya turun bbm subsidi nga naek kampret ilmu cetek belagu
positif,Saya selalu berdoa dalam hati.agar pak @prabowo mjd PRESIDEN RI.saat ini ekonomi buruk pak.sampai2 ponsel sy tutup krn ekonomi masyarakat carut marut..dn ketika menjadi PRESIDEN nanti tolong perbaiki ekonomi masyarakat pak..wslm 02 dihati.,doa hati @prabowo mjd presiden ri ekonomi buruk sampai2 ponsel tutup ekonomi masyarakat carut marut dn presiden tolong baik ekonomi masyarakat wslm hati
netral,Presiden Jokowi - Raja Salman Sepakat Tingkatkan Kerja Sama Ekonomi  https://jatim.sindonews.com/read/9583/1/presiden-jokowi-raja-salman-sepakat-tingkatkan-kerja-sama-ekonomi-1555254249?utm_source=dlvr.it&utm_medium=referralÂ â€¦,presiden jokowi raja salman sepakat tingkat kerja ekonomi
negatif,"Media asing yg mana?! Ayo tunjukkan, yg mana?! Jgn cuma berangan-angan lantas menabur Fitnah?!  Aku udah jijik dgn kebohongan dan kesombongan kau @Fahrihamzah !!!  Dibanding @jokowi kau tidak ada apa-apanya!!  Sama-sama makan Gaji dari pembayar pajak, tapi Kau Banyak Tidurnya!!",media asing ayo tunjuk jgn berangan angan lantas tabur fitnah udah jijik bohong sombong kau @fahrihamzah banding @jokowi kau tidak apa makan gaji bayar pajak kau tidur
netral,"Jgn "" anda dpt harga 16rb karena itu toko abang andaðŸ˜‚ðŸ˜‚ðŸ˜‚",jgn dpt harga 16rb toko abang
negatif,Kualitas obama sama wowo ya kayak langit sama.comberan lah...obama ngga pernah bermasalah dalam karier lah kalo wowo di pecat trus gaji karyawan ngga dibayar..wowo sama lurah ada belum tentu lebih pinter..Jokowi udah jd pejabat berpengalaman makanya bisa jd Presiden...bangun pret,kualitas obama wowo ya kayak langit comberan obama nggak masalah karier kalo wowo pecat trus gaji karyawan nggak bayar wowo lurah belum lebih pinter jokowi udah jd jabat alam jd presiden bangun pret
netral,"Harga 18rb ,,untuk konsumen atau pemakai pribadi....  Kalau untuk pedagang ,jatuhnya 16rb/tabung",harga 18rb konsumen pakai pribadi dagang jatuh 16rb tabung
netral,#UASdifitnahKejiDanBrutal tapi @prabowo @sandiuno siap sodaqohkan gaji nyaðŸ˜­ https://twitter.com/BangSjahrir/status/1117430313909493760Â â€¦,#uasdifitnahkejidanbrutal @prabowo @sandiuno sodaqohkan gaji
netral,"#JokowiJelasIslamnya #PilihOrangBaik #CoblosYangBajuPutih #BantenJokowiAmin #Banten01 Pengalaman @KHMarufAmin_ dalam ekonomi sudah malang merintang. Yakni dengan mendirikan koperasi, Baitul Mal wa Tamwil (BMT) sejenis koperasi syariah. @jokowi  pic.twitter.com/0hQUSxmAdI",#jokowijelasislamnya #pilihorangbaik #coblosyangbajuputih #bantenjokowiamin #banten01 alam @khmarufamin ekonomi malang rintang diri koperasi baitul mal wa tamwil bmt jenis koperasi syariah @jokowi pic twitter com 0hqusxmadi
netral,"Charles Honoris, Jokowi Bangun Indonesia lewat Ekonomi Kreatif:  http://bit.ly/1skexYbÂ ",charles honor jokowi bangun indonesia ekonomi kreatif
netral,"Presiden @jokowi dan Raja Salman menggelar pertemuan bilateral di Istana Pribadi Raja (Al-Qasr Al-Khas), Minggu (14/4) sore. Dalam pertemuan yang berlangsung selepas jamuan santap siang itu, keduanya sepakat akan meningkatkan kerja sama di bidang ekonomi. (Foto dan berita: BPMI)  pic.twitter.com/68JRXIbsbz",presiden @jokowi raja salman gelar temu bilateral istana pribadi raja al qasr al khas minggu sore temu lepas jamu santap siang sepakat tingkat kerja bidang ekonomi foto berita bpmi pic twitter com 68jrxibsbz
netral,tp kenapa  fokus akan hal begitu  unicorn lah dll tidak selama nya dunia digital baik  contoh ecomerce  memamg harga lebih murah tapi memutus mata rantai distribusi sehinga distributor bisa menjual langsung barg sehingga masarakat tdk dpt kebagaian keutungan sbgai pengecer   :/,fokus unicorn dll tidak dunia digital contoh ecomerce memamg harga lebih murah putus mata rantai distribusi sehinga distributor jual langsung barg masarakat tidak dpt bagai keutungan sbgai ecer
netral,Prabowo-Sandi Kembali Tegaskan Tidak Akan Ambil Gaji Bila Terpilih  https://politik.rmol.co/read/2019/04/13/385982/Prabowo-Sandi-Kembali-Tegaskan-Tidak-Akan-Ambil-Gaji-Bila-Terpilih-Â â€¦,prabowo sandi tegas tidak ambil gaji pilih
netral,"Jika Terpilih, Prabowo-Sandiaga Janji Tak Ambil Gaji  https://m.detik.com/news/berita/d-4509616/jika-terpilih-prabowo-sandiaga-janji-tak-ambil-gajiÂ â€¦",pilih prabowo sandiaga janji tak ambil gaji
positif,"Kalo mau Listrik Turun, Kalo mau harga terjangkau, Kalo mau pelayanan BPJS baik, Kalo mau Honorer lebih baik  Dll maka #17April2019 Tusuk Prabowo Sandi (TPS).  #ClosingStatement #Debat5Pilpres2019",kalo listrik turun kalo harga jangkau kalo layan bpjs kalo honorer lebih dll #17april2019 tusuk prabowo sandi tps #closingstatement #debat5pilpres2019
netral,Penutup debat pamungkas ala prabowo-sandi. Jika diberi mandat nanti seperserpun gaji tidak akan mereka ambil ðŸ˜­  https://www.facebook.com/roy11.97/videos/993285917541989/Â â€¦,tutup debat pamungkas ala prabowo sandi mandat seperserpun gaji tidak ambil
negatif,Utang prabowo bwjibun  ..bukan utng ln lho utang pribadinya puluhan triltun jd gaji ngk diambil....busyeettt  jngn2 utang bebas ngk dibayar jemarin2 sdh minta dipailitkan biar ngk bayar  tp pemerintah ngk mau  mk bwrambiai mengumbar janji  https://twitter.com/detikcom/status/1117096276737306625Â â€¦,utang prabowo bwjibun bukan utng ln lho utang pribadi puluh triltun jd gaji ngk ambil busyeettt jngn2 utang bebas ngk bayar jemarin2 sdh pailit biar ngk bayar perintah ngk mk bwrambiai umbar janji
negatif,"Jangan berharap banyak terhadap prabowo untuk saling memahami ataupun menghargai sesama koalisi, bahkan surat kesepakatan untuk menjadikan AHY sebagai cawapres diingkari, apalagi terhadap rakyat, tidak ada kawan dalam politik, yang ada kepentingan sesaat, #selamatkanNKRI",harap prabowo paham harga koalisi surat sepakat jadi ahy cawapres ingkar rakyat tidak kawan politik penting #selamatkannkri
negatif,Pakai uang pajak atw uang pribadi pak.? Kok anak bini diajak segala.?,pakai uang pajak atw uang pribadi anak bini ajak
netral,"Mas di samping toko saya pangkalan gas punya agen untuk satu kmpung dan kuota di batasin,harga udah tertera di nomor registrasi pangkalanya @18rb /tbg jadi agen itu gk bÃ¬sa mainkn harga lagi apalagi jÃ¼al ke penjual lg krn kuota trbatasðŸ˜‚,",mas samping toko pangkal gas agen kmpung kuota batasin harga udah tera nomor registrasi pangkalanya @18rb tbg agen nggak b sa mainkn harga j al jual lg kuota trbatas
positif,"Yang janjinya mau ngehapusin pajak,  malah bikin hutang negara nambah lho mbak,  adanya pajak itu buat negara lho :)",janji ngehapusin pajak bikin hutang negara nambah lho mbak pajak negara lho
netral,Jokowi dan Raja Salman Sepakati Kerja Sama di Bidang Ekonomi  https://www.gardaindonews.com/jokowi-dan-raja-salman-sepakati-kerja-sama-di-bidang-ekonomi/Â â€¦,jokowi raja salman sepakat kerja bidang ekonomi
positif,"ijin menyampaikan bang, aspirasi teman saya, di desanya penghasilan utama berasal dari lada / merica, semenjak rezim ini berkuasa, harga lada jadi murah, mereka berharap ketika Prabowo sandi berkuasa, bisa mengstabilkan harga.",ijin bang aspirasi teman desa hasil utama asal lada merica semenjak rezim kuasa harga lada murah harap prabowo sandi kuasa mengstabilkan harga
negatif,"Masalahnya Pak @Jokowi janji bahwa ekonomi meroket, eh malah nyungsep. Itu MASALAH-nya. Link dibawah untuk ingatkan Pak @Jokowi atas janji Bpk. Apa Pak @Jokowi mau akui gagal penuhi janji?  Cc: @politik_twit @Fahrihamzah @fadlizon https://money.kompas.com/read/2015/08/05/192311826/Jokowi.Mulai.September.Pertumbuhan.Ekonomi.Indonesia.Akan.MeroketÂ â€¦",@jokowi janji ekonomi roket eh nyungsep link bawah ingat @jokowi janji bpk @jokowi aku gagal penuh janji cc @politik twit @fahrihamzah @fadlizon
negatif,Ini maksudnya apa ya pak??? Emangnya ngitung pertumbuhan ekonomi gmn menurut Anda pak @jokowi ?,maksud ya emang ngitung tumbuh ekonomi gmn @jokowi
netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Berbagai pencapaian telah berhasil tercapai. Khususnya pertumbuhan ekonomi di era pemerintahan @jokowi -JK, sangat jauh meningkat.   HYPERLINK "" https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦""  https://www.youtube.com/watch?v=p8qVUqCF9ioÂ â€¦]",#pilihorangbaik #pilihjelasislamnya #pilihbajuputih capai hasil capai tumbuh ekonomi era perintah @jokowi jk sangat tingkat hyperlink
netral,"#PilihOrangBaik #PilihJelasIslamnya #PilihBajuPutih  Kekompakan bermula dari persatuan, rasa saling menghargai, menghormati dan melengkapi. Dengan begitu pasti bangsa ini dapat berpikir maju kedepan. @jokowi @KHMarufAmin_",#pilihorangbaik #pilihjelasislamnya #pilihbajuputih kompak satu harga hormat lengkap bangsa pikir maju depan @jokowi @khmarufamin
negatif,@detikcom @jokowi Lahh dr games bisa beli mobil mewah. Beli rumah. Punya pendapatan. Dapet penghargaan. Kasih makan orng di rumah. Lw bilang gak berbobot? Lw balik aja k hidup jaman soeharto. Orbaaaa. Hiduppp cendana! #2019DKIJOIN,@detikcom @jokowi lahh games beli mobil mewah beli rumah dapat dapet harga kasih makan orng rumah lw bilang nggak bobot lw k hidup jaman soeharto orbaaa hiduppp cendana #2019dkijoin
